Recency,Frequency,Monetary
32,12,6354.1
528,1,708.1
431,1,1037.28
730,1,285.3
9,3,1298.66
335,1,334.93
4,21,9823.64
38,1,460.40000000000003
62,3,715.21
165,2,433.74
15,9,1815.27
640,1,357.4
619,2,45.34
81,3,6248.5
20,3,403.70000000000005
559,1,393.71999999999997
22,19,5955.21
336,1,2169.39
95,5,3723.87
583,1,1126.0
17,4,779.05
408,1,955.2
232,1,73.5
133,4,1844.06
25,2,397.88
283,1,176.5
142,9,5178.02
428,1,3084.02
65,2,132.18
112,1,612.29
266,2,1597.76
352,1,383.7
77,4,2648.62
27,5,2481.6
0,5,2056.89
63,2,716.54
78,5,2634.2599999999998
142,1,599.68
38,2,192.72
18,23,4352.35
8,17,11126.11
497,3,973.73
0,3,1316.66
81,5,735.51
8,6,1933.48
527,1,316.48
59,9,3759.26
14,2,1933.2
29,1,349.83000000000004
627,2,1367.89
130,1,1089.18
91,2,716.35
42,3,12601.830000000002
408,1,732.94
28,2,640.45
21,7,11214.75
19,33,22254.49
29,3,981.18
483,2,481.88
447,1,980.25
35,1,372.7
74,2,1000.39
46,2,1161.5
197,3,383.58
165,1,95.19999999999999
575,6,1575.68
78,1,964.83
357,1,168.0
38,2,437.82
7,12,4608.75
448,1,468.5
681,1,129.23
49,2,599.56
15,8,18096.14
7,1,269.96
310,2,561.71
4,3,2134.0099999999998
302,1,238.85
7,9,4966.92
408,1,249.24
260,1,456.9
288,1,145.92
85,1,351.65
22,15,11767.48
644,1,70.0
1,32,4124.69
681,1,77.52
39,2,519.61
8,2,1020.4200000000001
226,5,717.41
315,1,218.45000000000002
456,2,622.82
35,8,2142.72
34,8,1617.1
20,4,4642.45
77,1,440.42
246,2,1052.9
39,1,197.71
238,4,1980.4
2,27,13591.58
3,9,2338.15
233,2,2040.1
16,4,2062.67
7,1,144.0
38,4,958.78
28,8,4695.66
210,2,9864.26
316,3,1338.95
91,5,2582.66
108,3,418.09999999999997
37,15,5090.11
504,1,299.02
50,2,618.27
18,4,3811.22
9,11,4534.09
28,13,2296.72
28,21,4967.42
189,6,681.26
58,1,153.12
21,1,739.1999999999999
78,2,254.18
375,4,1232.95
681,1,21.0
59,1,1579.51
404,1,415.79
77,9,3435.86
22,5,2099.54
51,1,1193.32
73,1,704.04
56,10,6817.37
277,1,315.6
1,8,5740.98
94,3,1131.1
28,1,352.98
21,1,177.31
15,10,3781.38
14,3,1339.41
1,35,24311.2
231,1,180.1
275,7,3747.84
105,2,641.13
211,4,5164.88
22,9,6620.48
10,7,4478.53
3,3,786.46
385,2,1558.22
9,2,1270.88
56,6,3481.57
520,2,804.88
58,7,5678.16
535,2,490.0
89,4,2930.41
738,1,141.0
66,12,8283.81
32,2,921.49
238,3,1312.3700000000001
23,3,1174.58
114,1,185.9
24,3,1013.26
127,12,8304.82
129,4,1918.49
33,8,3539.3
4,2,1346.97
21,36,16955.55
154,4,1112.0
106,8,2294.65
2,1,314.44
334,4,377.75
330,2,1017.03
148,3,4160.83
10,5,601.98
423,1,261.35
16,8,6407.83
10,4,1643.18
18,1,686.05
29,1,91.68
10,1,245.1
435,1,162.0
0,20,6726.54
624,2,239.4
7,11,6070.04
324,3,313.6
393,1,1248.42
57,1,620.13
11,10,11383.03
150,3,2744.0299999999997
9,7,3760.29
605,1,2622.481
329,2,437.05
4,3,1230.02
38,4,1970.6
553,2,957.25
24,11,2843.09
554,2,395.1
41,21,34281.18
58,4,1113.02
0,4,880.81
14,45,29834.76
3,52,22950.22
3,21,11633.7
7,7,2283.63
27,6,2863.08
371,1,89.14
480,2,2138.91
113,1,4873.8099999999995
25,2,1247.61
205,1,389.01
27,7,1170.4
636,1,110.95
126,7,1703.02
69,3,1843.35
6,7,1407.1200000000001
434,2,851.91
28,3,957.59
589,1,339.75
417,1,638.11
7,4,4939.99
79,6,2446.41
19,1,219.0
70,4,1006.53
6,8,2340.84
14,14,11762.1
291,1,603.42
29,18,5117.66
14,34,30291.76
96,3,1149.02
611,2,1339.05
28,21,6723.03
0,1,848.55
8,12,14093.710000000001
105,1,343.36
3,2,1053.49
150,3,1308.91
70,1,238.25
4,2,644.95
2,30,7787.28
31,8,4013.08
84,4,997.63
3,5,725.07
4,7,2317.52
370,4,2266.76
27,11,4014.6
10,10,5679.53
70,5,1070.17
113,1,453.01
521,1,829.25
23,17,25775.71
179,1,236.26000000000002
233,4,2424.87
352,3,639.65
314,2,779.5699999999999
332,1,234.0
498,2,3710.5
371,1,155.35
77,4,2726.73
63,1,427.6
528,2,406.07
625,1,1201.52
133,2,540.13
51,11,25317.06
486,3,925.41
540,1,254.55
1,26,8898.48
0,337,53539.64
3,9,6897.36
128,1,275.88
444,1,268.27
80,1,4366.78
22,6,21429.39
235,3,3010.74
280,11,5236.26
86,1,112.08
15,13,7834.650000000001
116,7,9903.24
51,8,5020.74
455,1,347.8
457,2,782.95
7,2,1898.52
137,2,494.08
316,1,1693.88
471,6,1404.58
3,9,8918.99
375,1,949.82
450,1,168.69
238,1,1143.6
210,2,3246.45
485,1,282.3
59,1,892.47
563,1,124.25
535,1,98.7
16,7,1686.1200000000001
667,1,55.5
457,1,519.45
19,9,1775.6799999999998
37,14,6474.11
598,1,337.4
63,2,826.74
4,11,4618.24
1,6,2225.91
8,3,1763.15
363,3,1100.4
609,1,728.5
9,4,862.18
462,4,444.90000000000003
64,3,273.35
191,2,591.85
373,6,863.51
256,2,827.01
334,3,885.53
52,2,860.41
18,1,430.48
627,1,381.0
365,2,552.08
9,4,8510.93
528,1,219.35
469,3,584.25
500,1,1071.82
186,7,2416.42
392,1,1092.81
465,2,325.37
381,4,1434.95
434,4,2878.96
382,1,330.34999999999997
36,5,776.7
177,3,1755.94
534,2,534.99
260,5,1033.9
44,1,229.64000000000001
501,3,1687.8
101,1,125.92
147,2,1063.46
95,2,572.2
280,3,690.98
261,1,1542.08
457,1,540.52
2,11,2689.52
213,2,220.8
70,2,948.88
74,18,6501.5
59,1,397.12
520,2,518.63
2,12,2800.75
5,3,430.15
2,6,1018.71
336,3,385.3
37,6,6814.64
261,3,451.11
31,2,383.03000000000003
144,1,417.38
282,1,312.38
427,41,5996.83
58,15,6559.7300000000005
172,2,662.66
33,10,2975.91
2,26,9669.12
143,7,4041.97
4,40,6958.2
69,4,1917.99
65,30,6583.36
28,4,648.6
266,4,354.09000000000003
681,1,15.58
21,2,1609.0
675,1,208.0
30,6,3042.4700000000003
445,1,330.0
96,2,280.76
294,1,311.55
134,11,3907.5
78,7,2970.9700000000003
372,4,612.84
7,6,2170.78
210,6,3688.0
382,1,147.27
458,1,575.1
692,1,54.22
619,1,68.25
425,2,984.62
51,6,2792.55
137,2,299.57
25,4,3323.47
282,3,1227.35
25,13,7829.26
185,8,2043.76
681,1,337.66999999999996
374,3,1676.95
83,3,744.02
326,12,3283.96
281,3,2027.3
384,2,948.42
142,5,1356.9900000000002
57,4,4081.79
3,20,2942.14
235,2,854.99
44,3,573.22
381,2,640.13
275,1,298.0
8,2,1463.04
24,4,703.47
87,1,309.05
62,3,1175.22
67,2,1378.4
383,1,222.4
213,2,354.12
380,4,385.46000000000004
23,2,706.02
185,11,840.5
396,1,263.38
30,1,176.55
574,1,157.35
41,2,372.8
204,4,514.25
463,2,296.21
413,1,366.4
421,1,340.33000000000004
8,28,17654.54
264,1,138.68
428,1,833.5300000000001
17,2,496.06
576,2,1018.42
11,5,2919.81
395,2,508.91
175,5,1776.0
39,8,3103.19
22,13,5796.52
551,1,1651.72
2,5,1662.3
4,13,6283.24
400,1,223.98
148,4,975.1
138,7,4479.73
127,6,4359.2
625,1,10953.5
7,6,1335.19
16,4,486.64
8,74,35233.24
160,1,405.38
63,3,770.42
87,12,2469.4
4,3,729.3299999999999
410,4,1523.97
394,1,197.31
34,12,4304.89
311,1,117.85
77,2,415.8
21,57,92347.34
538,8,1698.56
23,8,1636.6299999999999
736,1,181.65
1,15,4243.86
16,4,1063.9
14,9,3097.61
25,1,114.14
63,20,25264.8
54,2,899.69
723,1,377.49
130,3,675.6
557,2,496.5
35,2,604.51
287,2,900.11
436,1,324.45
143,6,1603.99
15,9,2317.43
30,22,15526.7
1,3,1843.0
8,15,3213.7200000000003
5,4,1387.79
9,2,828.8100000000001
638,1,162.45
0,11,4757.16
305,4,521.89
9,13,8706.97
399,2,467.34
483,1,150.95
413,4,1322.0700000000002
378,1,211.99
6,2,266.39
7,12,3235.79
436,1,132.24
88,1,769.8100000000001
9,1,160.18
357,3,2938.52
111,1,135.95
602,1,122.45
6,10,1453.6
3,116,15704.6
413,4,1161.2
413,1,385.55
197,2,408.95
436,6,2100.09
211,8,3156.38
155,4,513.88
384,5,2502.82
728,1,517.7
157,21,16245.78
29,2,372.21999999999997
242,8,2744.81
597,1,490.08
18,1,97.5
0,2,1239.38
428,10,2729.84
73,5,1312.21
291,1,505.82
2,33,13551.75
30,7,955.5
22,3,764.82
724,1,93.35
22,8,1259.6299999999999
3,3,974.42
84,1,211.32
375,1,355.5
21,8,2110.91
492,3,920.08
195,3,455.88
106,4,1032.5
3,33,24042.65
317,3,414.13
105,3,149.05
11,36,11650.85
173,4,999.68
55,1,81.57
579,1,175.25
322,3,612.13
672,1,234.0
373,2,330.12
371,1,50.550000000000004
8,11,2957.83
0,29,11097.43
10,11,5381.08
52,11,6579.78
72,3,789.89
6,1,204.0
15,35,9763.16
378,6,1229.95
562,2,618.96
3,17,4887.24
429,1,65.3
63,3,1449.03
470,2,555.87
731,1,323.39
0,9,1733.08
113,19,17239.2
22,2,661.3199999999999
30,5,1927.3
10,2,752.4399999999999
406,5,3292.84
51,9,2815.96
356,2,220.55
54,3,756.8199999999999
73,3,1364.2
684,1,307.1
137,12,3914.95
79,3,908.46
583,4,1010.73
8,2,676.99
450,4,799.13
597,3,1488.59
272,1,516.42
290,11,4848.05
98,3,808.92
30,3,949.25
31,24,8428.53
13,9,4049.13
63,4,1408.24
14,35,11986.52
578,2,155.8
211,7,3119.33
621,1,127.65
77,4,2321.11
550,1,209.48
529,3,709.59
24,3,271.40000000000003
249,10,2291.77
253,1,307.53000000000003
71,1,248.61
190,1,346.98
480,1,188.4
12,6,1666.84
372,5,1055.05
23,2,470.8
81,3,508.51
9,2,344.0
0,38,9284.45
191,4,751.7
611,1,129.22
266,1,177.15
410,2,418.08
510,4,1378.74
129,1,919.61
457,1,135.4
0,11,2740.65
2,57,29018.06
3,6,419.18
178,4,280.73
11,28,56838.37
125,21,7335.75
3,3,395.43
491,1,122.39999999999999
157,8,2433.28
382,1,439.33000000000004
725,1,313.64
416,1,236.11
2,203,113416.91
8,24,13091.74
27,3,2321.82
70,12,2140.28
275,55,54144.25
20,13,2209.44
70,1,74.39999999999999
393,1,419.7000000000001
32,28,13324.1
0,28,28882.44
98,1,207.36
233,4,695.4
0,37,11380.1
39,3,709.64
2,9,1709.1
435,1,72.0
132,2,603.46
43,9,5253.07
372,2,748.4599999999999
59,3,1134.03
30,12,2957.4700000000003
718,1,321.88000000000005
540,1,20.599999999999998
0,37,18230.07
730,1,234.38
11,10,5494.7
137,1,501.14
21,18,2255.66
19,9,2415.41
668,1,134.9
238,1,30.6
268,1,283.73
93,2,922.39
472,2,506.75
89,4,4641.66
523,1,148.62
4,13,3774.81
77,1,259.17
630,1,263.5
451,2,233.25
93,1,64.0
22,7,3313.77
261,1,77.3
273,3,200.45
85,6,2475.23
196,2,3371.45
55,13,6274.56
10,16,7586.94
21,7,1274.01
15,8,8202.98
107,5,1054.92
84,17,7656.08
18,1,307.09000000000003
584,1,405.1
332,2,135.35
39,7,1128.52
25,1,228.91
9,4,712.8
28,26,8497.82
13,4,1676.06
483,3,449.96999999999997
295,3,2465.21
416,7,2146.38
5,1,486.22
398,3,1624.84
32,6,1370.48
384,3,1586.54
48,9,5687.36
94,5,1508.18
8,4,1429.35
21,1,91.8
312,2,472.13
121,16,9275.49
609,1,17.65
568,2,372.2
45,3,1451.1599999999999
282,2,875.93
18,5,1125.15
35,5,1840.73
63,3,840.08
26,1,108.81
21,3,468.41
399,1,69.6
3,11,2399.82
15,12,7995.36
581,2,831.45
45,1,481.49
64,2,512.2
25,21,14059.19
618,1,572.3100000000001
606,1,86.10000000000001
380,1,359.69
44,1,121.18
7,15,7036.18
14,10,1668.95
267,1,71.4
39,3,1575.89
336,4,341.36
10,1,114.6
18,2,260.68
543,3,570.66
657,1,164.69
94,6,2558.58
60,1,112.08
135,2,472.78
413,1,136.73
10,7,3068.84
609,1,373.01000000000005
9,8,4974.2300000000005
3,67,15964.210000000001
18,4,870.09
501,4,1233.06
393,7,1580.3
9,10,2648.25
730,1,966.6600000000001
442,1,2803.2
399,13,8308.19
14,4,535.86
58,9,1976.3
29,13,8509.51
93,1,353.48
9,10,2618.77
19,3,786.83
56,11,3851.52
417,7,3264.23
401,1,81.6
267,1,333.74
121,4,666.48
126,1,62.63999999999999
617,1,76.23
77,5,1336.09
239,2,847.41
576,1,88.5
199,6,969.12
59,2,2155.95
2,16,16260.07
272,2,312.46
201,1,257.7
80,1,358.0
225,1,160.95
3,30,6120.01
12,7,1328.35
73,4,1176.46
672,2,346.5
211,1,1031.07
24,2,744.85
387,1,643.0
16,6,1006.63
261,5,1594.69
95,8,1475.79
411,1,112.53
111,7,699.4
202,5,1220.38
92,1,121.74000000000001
50,2,989.22
17,11,3351.75
17,4,501.12
124,2,465.68
91,9,1608.9299999999998
460,2,253.09
401,1,252.68
393,2,399.3
156,4,2951.11
375,1,51.41
8,3,678.76
13,1,0.0
435,1,149.75
11,5,1009.43
61,9,1402.54
60,1,557.62
268,2,944.1
262,3,573.45
0,39,8676.2
442,1,722.5600000000001
52,5,2092.66
10,19,6135.04
2,36,9429.81
17,11,3174.75
0,28,8537.32
365,1,590.0
36,1,211.49
30,2,276.56
112,1,138.98
408,1,360.85
383,2,238.86
63,5,1891.91
15,7,523.3
40,4,1435.85
77,1,137.75
121,7,2293.33
438,1,350.85
17,4,1313.19
59,4,373.36
330,1,201.19
22,6,3364.59
599,1,734.91
602,3,781.59
442,5,927.61
723,1,307.95
437,1,208.63
155,11,3270.79
38,5,994.51
391,6,1192.94
189,3,1689.53
359,4,1101.97
136,6,792.51
7,7,4368.62
0,1,360.0
267,3,1218.7
168,3,1285.51
103,4,618.09
154,2,159.2
399,1,61.72
350,4,1217.99
3,16,3616.41
429,1,53.65
119,3,273.34
22,4,1670.3700000000001
6,6,1706.37
27,5,1541.2
3,2,598.57
450,1,124.75
21,12,3445.32
1,3,775.94
688,1,310.26000000000005
36,10,12940.82
65,19,6486.091
0,3,640.76
4,58,21323.22
77,6,2211.6
71,2,567.36
16,1,199.48000000000002
2,5,787.85
35,18,10513.47
81,1,675.3
431,1,281.76
38,20,9134.48
315,1,1308.48
31,8,4808.7699999999995
92,6,2796.1
401,1,262.4
13,1,350.9
410,3,1015.74
81,5,6201.8
76,1,795.12
545,1,1575.26
157,4,2445.62
200,1,860.12
44,12,22100.56
260,1,775.85
177,1,353.43
67,3,2511.69
287,1,389.5
462,6,299.4
69,1,341.35999999999996
63,1,233.76000000000002
10,1,247.32
15,2,979.12
65,1,373.94
59,1,397.97999999999996
70,1,743.53
121,1,674.7
79,1,768.24
256,5,3805.51
268,1,439.03
63,2,1043.31
431,4,1553.65
471,2,1450.5
8,7,5394.07
17,3,1723.8600000000001
70,1,134.96
33,2,2225.37
49,1,56.16
431,1,510.2
256,4,1121.5
365,1,308.28000000000003
371,1,754.87
504,2,2297.66
89,1,378.64
60,6,7587.19
414,2,422.8
88,2,1792.23
98,3,1019.76
396,2,1552.88
25,3,572.56
432,1,62.4
31,12,8224.37
280,5,1387.58
543,1,305.28000000000003
30,11,6680.83
329,1,534.57
413,2,835.46
416,1,186.94
130,3,1185.65
10,3,797.96
74,1,544.08
203,1,59.8
676,1,91.14
583,4,1131.45
1,19,6621.7
184,3,1180.23
28,2,1360.99
72,10,3191.87
191,2,670.34
463,3,275.4
582,1,310.83
126,4,1226.85
17,3,229.5
0,2,252.49
73,6,1213.811
426,2,568.92
578,3,2244.7
1,106,50174.782
23,9,2201.96
106,1,213.55
619,1,487.35
639,6,429.44
133,6,2494.14
472,4,784.17
43,3,940.8000000000001
4,6,1669.49
11,31,11559.66
63,1,221.06
149,2,159.85
39,8,4058.75
63,1,2626.3
428,1,217.03
449,1,572.77
107,5,3390.4300000000003
0,22,8167.38
18,6,1006.53
9,3,478.54
10,4,1006.8
18,2,679.4499999999999
66,8,3316.2400000000002
570,2,439.1
500,4,658.32
73,5,1666.8600000000001
4,9,4447.33
1,1,196.89
13,7,3408.06
546,1,46.5
254,3,986.61
422,7,1295.25
91,2,720.9
666,3,419.87
448,6,1273.16
373,2,619.08
625,1,241.89999999999998
429,11,3881.89
22,3,1129.14
16,13,8745.93
23,1,291.88
26,13,4120.04
25,11,7090.06
258,3,729.8
165,3,781.6899999999999
640,1,219.87
24,6,2212.9900000000002
17,6,1766.72
688,2,148.22
6,16,11959.27
624,2,1160.4099999999999
28,2,183.44
38,6,4160.0
252,5,1153.8500000000001
57,6,3097.64
445,2,931.12
183,5,1013.35
10,2,1071.91
1,72,12793.28
652,1,82.4
98,2,165.0
0,4,2501.84
463,2,592.24
60,8,2657.76
235,3,646.59
190,4,1431.78
178,5,2061.47
37,11,2819.17
468,5,2215.78
200,4,851.37
416,2,627.82
45,11,3830.84
231,2,336.09
65,1,140.34
240,3,790.72
232,11,3019.2200000000003
77,3,1122.41
57,5,846.87
16,23,14205.96
104,4,449.52
653,1,154.25
51,27,4467.66
135,3,1269.84
274,2,618.63
311,1,316.26000000000005
7,10,4863.31
10,2,653.33
282,6,1166.83
729,1,327.38
17,5,1159.1100000000001
22,4,1466.3
287,3,2885.11
16,5,780.5
70,6,1859.24
63,1,295.93
72,4,4393.63
315,5,1338.08
2,4,2479.16
243,2,287.05
8,8,1114.72
0,11,4558.29
676,1,282.76
260,4,713.39
126,3,824.59
73,4,815.9000000000001
72,6,1265.82
20,4,1685.26
59,3,2128.42
85,1,627.16
77,2,343.21
58,11,6606.0
0,3,1071.73
29,1,125.80000000000001
32,6,4534.57
40,5,680.1800000000001
14,2,628.78
737,2,1182.0
33,12,4541.29
78,2,307.76
633,1,402.98
204,6,1433.07
33,1,210.31
182,3,269.09
1,35,7720.9
402,1,89.5
0,7,3444.39
425,2,717.85
42,12,3103.13
85,7,1569.36
466,3,632.39
426,2,785.25
376,17,3959.4900000000002
633,2,1439.61
39,6,790.2
390,2,364.93
11,5,1086.24
407,1,167.08
95,3,901.44
25,8,1005.8000000000001
382,1,342.55
318,2,244.2
65,22,6948.92
674,1,499.6
379,7,1629.35
73,13,8891.84
428,2,200.82
27,13,3032.26
5,4,594.52
512,2,990.0
6,1,171.42000000000002
215,11,1803.4
81,8,4838.18
83,2,777.53
143,37,16498.97
18,3,414.8
40,5,1688.6
427,4,1079.29
172,1,187.05
16,4,726.54
242,1,239.49
12,26,4537.26
205,1,1384.25
49,6,904.52
410,1,404.45
22,5,732.0699999999999
9,28,11202.59
24,11,3489.28
408,1,147.66
14,5,1374.34
405,1,107.75
308,2,280.53000000000003
389,2,241.68
155,2,1445.031
306,3,385.7
530,3,684.54
540,1,127.28
63,4,1673.5
15,9,2478.95
14,6,1120.74
10,18,6336.04
64,7,2093.94
35,4,247.95999999999998
107,14,5493.29
52,2,533.32
516,3,784.48
5,2,664.11
399,2,396.71
46,5,761.96
0,33,9811.04
311,2,518.42
44,4,1159.99
64,4,1025.17
25,1,164.34
658,1,717.62
386,2,522.67
28,3,276.75
39,2,1075.81
540,1,232.05
592,1,167.35
11,14,2103.71
88,10,3297.9300000000003
632,1,818.29
452,5,1039.8500000000001
23,6,2332.74
318,8,6272.53
567,2,283.85
39,8,1278.75
173,1,177.34
544,2,224.94
527,1,112.34
116,1,213.85
695,1,658.95
30,10,2533.06
387,1,462.08
596,1,301.26
252,2,707.04
58,7,2245.9
675,1,310.14
22,19,13370.86
4,7,2031.78
99,11,3070.42
24,8,3645.81
32,16,5033.77
67,4,2999.16
36,5,949.12
51,3,804.3
15,1,122.64
73,2,1346.27
610,1,405.0
640,5,1016.47
215,4,472.2
30,10,2156.77
15,4,2624.26
119,1,252.1
399,2,326.25
9,8,3041.68
399,8,1764.02
256,6,1453.68
16,10,3288.0
34,3,226.85
45,5,2262.05
487,1,152.2
42,11,6308.0
113,6,2280.51
164,4,1078.85
10,2,382.14
9,9,6025.5
205,12,4884.68
399,1,306.64
602,1,325.24
85,11,2233.61
178,5,2047.51
385,3,1711.6599999999999
59,5,127.9
148,1,299.05
2,35,12948.48
50,3,413.55
74,1,349.7
394,1,172.6
300,3,419.92
18,2,387.44
432,1,240.68
150,2,486.82000000000005
538,2,243.9
404,2,551.24
151,1,232.6
493,3,281.26
0,12,11419.67
17,4,827.83
186,1,59.5
457,1,258.6
285,4,594.88
2,7,3119.44
182,3,409.04
437,1,11880.84
634,1,375.5
62,2,1259.5
58,1,172.25
395,1,212.78
24,5,3114.4
373,9,2011.82
3,143,195640.69
30,16,2770.73
421,3,2020.4
38,1,151.29999999999998
596,2,451.73
154,2,764.15
25,13,2596.97
446,1,161.0
445,1,135.18
317,2,425.56
4,9,2308.06
7,7,1717.19
302,2,631.17
266,5,3365.86
270,1,285.33
3,18,7571.35
31,3,509.52
218,9,1792.26
246,2,766.42
407,3,740.76
464,1,161.35
280,17,8153.04
268,1,138.28
31,8,1763.3
245,2,306.55
14,11,2783.08
116,4,799.9
35,2,741.54
131,10,5635.41
216,6,1194.08
636,1,213.01
49,8,1980.56
38,2,1079.66
28,8,1074.15
36,16,2855.17
435,3,724.73
135,2,752.6
218,2,610.59
27,1,491.86
410,2,487.03000000000003
508,4,6695.6900000000005
24,13,9762.77
4,7,2752.47
199,1,339.59999999999997
395,1,434.78000000000003
17,2,292.2
240,5,1582.77
71,3,668.4300000000001
16,12,3107.87
2,7,1341.6
94,2,1080.52
161,2,777.36
413,1,176.69
373,2,169.79999999999998
95,9,2064.35
53,11,3602.18
287,1,296.25
123,7,1579.83
287,4,2094.57
151,3,447.05
3,9,2108.06
1,23,8655.95
674,1,195.55
11,15,8698.13
32,2,659.4100000000001
53,5,1363.6399999999999
49,6,1952.17
218,5,2472.48
62,3,5217.44
70,6,2919.62
652,1,352.821
494,1,190.35
1,73,33903.57
726,2,875.97
1,20,5478.12
421,4,785.37
63,9,5728.82
33,8,3100.02
396,2,301.54
81,1,345.0
590,1,1049.66
427,2,623.98
0,61,49638.26
102,4,1124.49
515,1,161.13
6,3,732.07
250,3,778.83
12,13,1786.08
487,4,1542.09
9,14,2910.23
428,4,542.49
366,6,3127.99
75,6,1222.5
504,1,3.75
387,1,239.45999999999998
3,1,348.79999999999995
127,2,1516.0
65,3,383.95
646,1,96.0
546,1,126.03
387,4,836.3
498,1,289.7
436,3,1179.45
0,110,75428.87
116,9,2803.57
309,3,1679.56
66,1,324.8
138,19,26259.11
254,3,1338.91
30,9,3161.12
51,2,924.5999999999999
63,1,256.38
366,3,422.2
5,5,1747.66
304,3,679.6999999999999
28,3,1499.01
183,3,814.5
41,3,539.0
39,8,2765.4700000000003
91,3,2257.32
21,8,7475.74
23,2,571.67
28,2,382.98
429,1,61.28
301,6,2642.35
417,3,652.75
144,6,1379.08
5,2,632.0
18,7,3403.4500000000003
32,12,3314.76
621,2,255.59
175,1,189.5
57,3,409.8
21,1,209.49
420,1,102.0
581,1,156.85000000000002
15,18,6585.54
18,2,609.89
158,2,700.41
576,2,324.19
24,7,1095.27
398,2,620.37
211,2,266.59000000000003
5,10,1690.07
485,1,139.95000000000002
415,1,651.4
252,1,85.0
58,18,5319.34
380,1,319.75
10,1,361.62
64,1,312.98
24,4,1307.79
719,1,310.72
91,8,3015.0
51,5,3469.3
128,1,1595.48
95,8,4606.46
610,1,187.35000000000002
56,1,1090.1399999999999
8,39,11944.56
500,4,1310.34
168,11,1142.03
392,6,1001.01
56,1,216.17000000000002
325,2,515.86
0,5,1245.9
428,2,273.26
17,9,2556.09
247,4,1239.55
386,1,662.4000000000001
57,4,501.56
73,1,145.67
30,3,1005.09
6,2,3192.54
122,10,7996.87
1,15,5712.08
22,17,7885.85
526,3,919.57
119,8,1038.92
357,7,2049.15
53,14,4814.37
63,1,122.7
85,3,449.68
54,4,2416.9
645,1,395.5
20,17,4293.86
3,43,45179.1
2,5,1191.13
10,15,6560.02
6,10,1825.03
188,2,506.8
70,1,243.56
203,1,349.55
119,7,2001.59
92,6,1991.23
0,14,2927.38
377,3,859.21
26,6,1267.6499999999999
297,1,821.1
23,3,564.62
27,6,4008.52
625,1,388.55
49,3,1160.72
325,2,686.4
15,2,388.52
182,6,1610.5900000000001
71,15,5676.34
631,5,34095.26
399,1,165.45000000000002
36,2,332.64
732,1,312.65
408,1,42.0
691,1,136.8
79,4,2369.55
422,2,282.85
56,20,4234.99
423,1,124.95
506,1,42.22
11,2,626.45
393,1,70.80000000000001
463,4,1275.81
49,2,272.04
49,2,1212.8400000000001
58,4,1360.68
431,4,1774.68
401,4,730.7
351,3,865.2
53,1,351.13
1,6,1838.8500000000001
92,4,678.25
22,1,223.85000000000002
74,2,708.26
10,4,464.57
168,11,3494.1
57,2,337.34
95,11,5257.38
294,1,307.4
108,2,608.79
263,1,922.1
596,3,6116.92
179,3,939.66
168,2,880.13
34,1,71.66
22,7,1560.96
